,date,dcoilwtico
0,01/01/2013,
1,02/01/2013,93.13999939
2,03/01/2013,92.97000122
3,04/01/2013,93.12000275
4,07/01/2013,93.19999695
5,08/01/2013,93.20999908
6,09/01/2013,93.08000183
7,10/01/2013,93.80999756
8,11/01/2013,93.59999847
9,14/01/2013,94.26999664
10,15/01/2013,93.26000214
11,16/01/2013,94.27999878
12,17/01/2013,95.48999786
13,18/01/2013,95.61000061
14,21/01/2013,
15,22/01/2013,96.08999634
16,23/01/2013,95.05999756
17,24/01/2013,95.34999847
18,25/01/2013,95.15000153
19,28/01/2013,95.94999695
20,29/01/2013,97.62000275
21,30/01/2013,97.98000336
22,31/01/2013,97.65000153
23,01/02/2013,97.45999908
24,04/02/2013,96.20999908
25,05/02/2013,96.68000031
26,06/02/2013,96.44000244
27,07/02/2013,95.83999634
28,08/02/2013,95.70999908
29,11/02/2013,97.01000214
30,12/02/2013,97.48000336
31,13/02/2013,97.02999878
32,14/02/2013,97.30000305
33,15/02/2013,95.94999695
34,18/02/2013,
35,19/02/2013,96.69000244
36,20/02/2013,94.91999817
37,21/02/2013,92.79000092
38,22/02/2013,93.12000275
39,25/02/2013,92.73999786
40,26/02/2013,92.62999725
41,27/02/2013,92.83999634
42,28/02/2013,92.02999878
43,01/03/2013,90.70999908
44,04/03/2013,90.12999725
45,05/03/2013,90.87999725
46,06/03/2013,90.47000122
47,07/03/2013,91.52999878
48,08/03/2013,92.01000214
49,11/03/2013,92.06999969
50,12/03/2013,92.44000244
51,13/03/2013,92.47000122
52,14/03/2013,93.02999878
53,15/03/2013,93.48999786
54,18/03/2013,93.70999908
55,19/03/2013,92.44000244
56,20/03/2013,93.20999908
57,21/03/2013,92.45999908
58,22/03/2013,93.41000366
59,25/03/2013,94.55000305
60,26/03/2013,95.98999786
61,27/03/2013,96.52999878
62,28/03/2013,97.23999786
63,29/03/2013,
64,01/04/2013,97.09999847
65,02/04/2013,97.23000336
66,03/04/2013,95.01999664
67,04/04/2013,93.26000214
68,05/04/2013,92.76000214
69,08/04/2013,93.36000061
70,09/04/2013,94.18000031
71,10/04/2013,94.58999634
72,11/04/2013,93.44000244
73,12/04/2013,91.23000336
74,15/04/2013,88.75
75,16/04/2013,88.73000336
76,17/04/2013,86.65000153
77,18/04/2013,87.83000183
78,19/04/2013,88.04000092
79,22/04/2013,88.80999756
80,23/04/2013,89.20999908
81,24/04/2013,91.06999969
82,25/04/2013,93.26999664
83,26/04/2013,92.62999725
84,29/04/2013,94.08999634
85,30/04/2013,93.22000122
86,01/05/2013,90.73999786
87,02/05/2013,93.69999695
88,03/05/2013,95.25
89,06/05/2013,95.80000305
90,07/05/2013,95.27999878
91,08/05/2013,96.23999786
92,09/05/2013,96.08999634
93,10/05/2013,95.80999756
94,13/05/2013,94.76000214
95,14/05/2013,93.95999908
96,15/05/2013,93.94999695
97,16/05/2013,94.84999847
98,17/05/2013,95.72000122
99,20/05/2013,96.29000092
100,21/05/2013,95.55000305
101,22/05/2013,93.98000336
102,23/05/2013,94.12000275
103,24/05/2013,93.83999634
104,27/05/2013,
105,28/05/2013,94.65000153
106,29/05/2013,93.12999725
107,30/05/2013,93.56999969
108,31/05/2013,91.93000031
109,03/06/2013,93.41000366
110,04/06/2013,93.36000061
111,05/06/2013,93.66000366
112,06/06/2013,94.70999908
113,07/06/2013,96.11000061
114,10/06/2013,95.81999969
115,11/06/2013,95.5
116,12/06/2013,95.98000336
117,13/06/2013,96.66000366
118,14/06/2013,97.83000183
119,17/06/2013,97.86000061
120,18/06/2013,98.45999908
121,19/06/2013,98.23999786
122,20/06/2013,94.88999939
123,21/06/2013,93.80999756
124,24/06/2013,95.06999969
125,25/06/2013,95.25
126,26/06/2013,95.47000122
127,27/06/2013,97
128,28/06/2013,96.36000061
129,01/07/2013,97.94000244
130,02/07/2013,99.65000153
131,03/07/2013,101.9199982
132,04/07/2013,
133,05/07/2013,103.0899963
134,08/07/2013,103.0299988
135,09/07/2013,103.4599991
136,10/07/2013,106.4100037
137,11/07/2013,104.7699966
138,12/07/2013,105.8499985
139,15/07/2013,106.1999969
140,16/07/2013,105.8799973
141,17/07/2013,106.3899994
142,18/07/2013,107.9400024
143,19/07/2013,108
144,22/07/2013,106.6100006
145,23/07/2013,107.1299973
146,24/07/2013,105.4100037
147,25/07/2013,105.4700012
148,26/07/2013,104.7600021
149,29/07/2013,104.6100006
150,30/07/2013,103.1399994
151,31/07/2013,105.0999985
152,01/08/2013,107.9300003
153,02/08/2013,106.9400024
154,05/08/2013,106.6100006
155,06/08/2013,105.3199997
156,07/08/2013,104.4100037
157,08/08/2013,103.4499969
158,09/08/2013,106.0400009
159,12/08/2013,106.1900024
160,13/08/2013,106.7799988
161,14/08/2013,106.8899994
162,15/08/2013,107.4300003
163,16/08/2013,107.5800018
164,19/08/2013,107.1399994
165,20/08/2013,104.9000015
166,21/08/2013,103.9300003
167,22/08/2013,104.9300003
168,23/08/2013,106.4800034
169,26/08/2013,105.8799973
170,27/08/2013,109.1100006
171,28/08/2013,110.1699982
172,29/08/2013,108.5100021
173,30/08/2013,107.9800034
174,02/09/2013,
175,03/09/2013,108.6699982
176,04/09/2013,107.2900009
177,05/09/2013,108.5
178,06/09/2013,110.6200027
179,09/09/2013,109.6200027
180,10/09/2013,107.4800034
181,11/09/2013,107.6500015
182,12/09/2013,108.7200012
183,13/09/2013,108.3099976
184,16/09/2013,106.5400009
185,17/09/2013,105.3600006
186,18/09/2013,108.2300034
187,19/09/2013,106.2600021
188,20/09/2013,104.6999969
189,23/09/2013,103.6200027
190,24/09/2013,103.2200012
191,25/09/2013,102.6800003
192,26/09/2013,103.0999985
193,27/09/2013,102.8600006
194,30/09/2013,102.3600006
195,01/10/2013,102.0899963
196,02/10/2013,104.1500015
197,03/10/2013,103.2900009
198,04/10/2013,103.8300018
199,07/10/2013,103.0699997
200,08/10/2013,103.5400009
201,09/10/2013,101.6299973
202,10/10/2013,103.0800018
203,11/10/2013,102.1699982
204,14/10/2013,102.4599991
205,15/10/2013,101.1500015
206,16/10/2013,102.3399963
207,17/10/2013,100.7200012
208,18/10/2013,100.8700027
209,21/10/2013,99.27999878
210,22/10/2013,97.62999725
211,23/10/2013,96.90000153
212,24/10/2013,96.65000153
213,25/10/2013,97.40000153
214,28/10/2013,98.73999786
215,29/10/2013,98.29000092
216,30/10/2013,96.80999756
217,31/10/2013,96.29000092
218,01/11/2013,94.55999756
219,04/11/2013,94.58000183
220,05/11/2013,93.40000153
221,06/11/2013,94.73999786
222,07/11/2013,94.25
223,08/11/2013,94.55999756
224,11/11/2013,95.12999725
225,12/11/2013,93.12000275
226,13/11/2013,93.91000366
227,14/11/2013,93.76000214
228,15/11/2013,93.80000305
229,18/11/2013,93.02999878
230,19/11/2013,93.34999847
231,20/11/2013,93.33999634
232,21/11/2013,95.34999847
233,22/11/2013,94.52999878
234,25/11/2013,93.86000061
235,26/11/2013,93.41000366
236,27/11/2013,92.05000305
237,28/11/2013,
238,29/11/2013,92.55000305
239,02/12/2013,93.61000061
240,03/12/2013,95.83000183
241,04/12/2013,96.97000122
242,05/12/2013,97.13999939
243,06/12/2013,97.48000336
244,09/12/2013,97.09999847
245,10/12/2013,98.31999969
246,11/12/2013,97.25
247,12/12/2013,97.20999908
248,13/12/2013,96.26999664
249,16/12/2013,97.18000031
250,17/12/2013,96.98999786
251,18/12/2013,97.58999634
252,19/12/2013,98.40000153
253,20/12/2013,99.11000061
254,23/12/2013,98.62000275
255,24/12/2013,98.87000275
256,25/12/2013,
257,26/12/2013,99.18000031
258,27/12/2013,99.94000244
259,30/12/2013,98.90000153
260,31/12/2013,98.16999817
261,01/01/2014,
262,02/01/2014,95.13999939
263,03/01/2014,93.66000366
264,06/01/2014,93.12000275
265,07/01/2014,93.30999756
266,08/01/2014,91.90000153
267,09/01/2014,91.36000061
268,10/01/2014,92.38999939
269,13/01/2014,91.44999695
270,14/01/2014,92.15000153
271,15/01/2014,93.77999878
272,16/01/2014,93.54000092
273,17/01/2014,93.95999908
274,20/01/2014,
275,21/01/2014,94.51000214
276,22/01/2014,96.34999847
277,23/01/2014,97.23000336
278,24/01/2014,96.66000366
279,27/01/2014,95.81999969
280,28/01/2014,97.48999786
281,29/01/2014,97.33999634
282,30/01/2014,98.25
283,31/01/2014,97.55000305
284,03/02/2014,96.44000244
285,04/02/2014,97.23999786
286,05/02/2014,97.40000153
287,06/02/2014,97.83999634
